دانشکده,رشته,سن,استان,قومیت,اغلب شب‌ها در چه بازه‌ی زمانی می‌خوابید؟,اغلب صبح‌ها چه ساعتی بیدار می‌شوید؟,سطح تحمل سر و صدا در شما چه‌گونه است؟,عادات مطالعه شما به چه صورت است؟,شما در نظافت و سازماندهی جزو کدام دسته از افراد هستید؟,دین
حقوق و علوم سیاسی,مهندسی صنایع,23,آذربایجان شرقی,کرد,10-11,6-7,علاقه‌مند به محیط‌های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان - شیعه
فنی مهندسی,زیست شناسی - علوم گیاهی,23,مرکزی,other,1-2,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,امکان تمرکز با موسیقی یا سر و صدا,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان - شیعه
شیمی,مددکاری اجتماعی,23,کرمان,لر,12-1,5-6,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان - شیعه
علوم زیستی,زبان و ادبیات انگلیسی,21,لرستان,فارس,12-1,5-6,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان - شیعه
فنی مهندسی,زبان و ادبیات فارسی,31,آذربایجان غربی,فارس,12-1,5-6,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان - شیعه
علوم زیستی,جامعه شناسی,28,تهران,کرد,11-12,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان - شیعه
rare,مهندسی مکانیک گرایش تبدیل انرژی,23,اصفهان,فارس,12-1,7-8,علاقه‌مند به محیط‌های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان - شیعه
حقوق و علوم سیاسی,شیمی محض,21,تهران,مازندرانی,12-1,6-7,علاقه‌مند به محیط‌های پر جنب و جوش,امکان تمرکز با موسیقی یا سر و صدا,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان - شیعه
فنی مهندسی,مددکاری اجتماعی,21,کردستان,other,1-2,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان - شیعه
فنی مهندسی,حقوق,22,لرستان,فارس,12-1,6-7,علاقه‌مند به محیط‌های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان - شیعه
فنی مهندسی,مهندسی صنایع,32,قم,کرد,10-11,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان - شیعه
ادبیات و علوم انسانی,فیزیک,35,تهران,other,12-1,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان - شیعه
فنی مهندسی,زیست شناسی - علوم گیاهی,18,اردبیل,ترک,10-11,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان - شیعه
حقوق و علوم سیاسی,حسابداری,22,مازندران,لر,1-2,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان - شیعه
تربیت بدنی و علوم ورزشی,مهندسی صنایع,20,اصفهان,فارس,10-11,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,امکان تمرکز با موسیقی یا سر و صدا,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان - شیعه
فنی مهندسی,فقه و حقوق اسلامی,21,قم,فارس,10-11,5-6,علاقه‌مند به محیط‌های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان - سنی
علوم زیستی,روانشناسی,18,اردبیل,فارس,11-12,7-8,علاقه‌مند به محیط‌های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان - شیعه
فنی مهندسی,مهندسی صنایع,24,مازندران,کرد,10-11,4-5,علاقه‌مند به محیط‌های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان - سنی
فیزیک,"",19,کرمانشاه,ترک,11-12,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,امکان تمرکز با موسیقی یا سر و صدا,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,other
فیزیک,مهندسی صنایع,20,خراسان رضوی,کرد,11-12,7-8,علاقه‌مند به محیط‌های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان - شیعه
مدیریت,فیزیک,18,مازندران,فارس,12-1,5-6,علاقه‌مند به محیط‌های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان - شیعه
فنی مهندسی,زبان و ادبیات انگلیسی,23,یزد,فارس,1-2,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان - شیعه
علوم زیستی,زیست شناسی - علوم سلولی و مولکولی,40,خوزستان,فارس,11-12,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان - شیعه
فنی مهندسی,حقوق,38,اصفهان,ترک,1-2,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,امکان تمرکز با موسیقی یا سر و صدا,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان - شیعه
ادبیات و علوم انسانی,مهندسی کامپیوتر - نرم افزار,18,خوزستان,کرد,11-12,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان - شیعه
تربیت بدنی و علوم ورزشی,مهندسی مکانیک,32,تهران,فارس,1-2,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان - شیعه
حقوق و علوم سیاسی,فیزیک,23,لرستان,فارس,2-3,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,امکان تمرکز با موسیقی یا سر و صدا,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان - شیعه
